log,gamma,events,states
BPI 2020,0.000000000000000,1.000000000000000,1.000000000000000
BPI 2020,0.000000000000150,1.000000000000000,1.000000000000000
BPI 2020,0.000000000001200,1.000000000000000,1.000000000000000
BPI 2020,0.000000000004050,1.000000000000000,1.000000000000000
BPI 2020,0.000000000009600,1.000000000000000,1.000000000000000
BPI 2020,0.000000000018750,1.000000000000000,1.000000000000000
BPI 2020,0.000000000032400,1.000000000000000,1.000000000000000
BPI 2020,0.000000000051450,1.000000000000000,1.000000000000000
BPI 2020,0.000000000076800,1.000000000000000,1.000000000000000
BPI 2020,0.000000000109350,1.000000000000000,1.000000000000000
BPI 2020,0.000000000150000,1.000000000000000,1.000000000000000
BPI 2020,0.000000000199650,1.000000000000000,1.000000000000000
BPI 2020,0.000000000259200,1.000000000000000,1.000000000000000
BPI 2020,0.000000000329550,1.000000000000000,1.000000000000000
BPI 2020,0.000000000411600,1.000000000000000,1.000000000000000
BPI 2020,0.000000000506250,1.000000000000000,1.000000000000000
BPI 2020,0.000000000614400,1.000000000000000,1.000000000000000
BPI 2020,0.000000000736950,1.000000000000000,1.000000000000000
BPI 2020,0.000000000874800,1.000000000000000,1.000000000000000
BPI 2020,0.000000001028850,1.000000000000000,1.000000000000000
BPI 2020,0.000000001200000,1.000000000000000,1.000000000000000
BPI 2020,0.000000001389150,1.000000000000000,1.000000000000000
BPI 2020,0.000000001597200,1.000000000000000,1.000000000000000
BPI 2020,0.000000001825050,1.000000000000000,1.000000000000000
BPI 2020,0.000000002073600,1.000000000000000,1.000000000000000
BPI 2020,0.000000002343750,1.000000000000000,1.000000000000000
BPI 2020,0.000000002636400,1.000000000000000,1.000000000000000
BPI 2020,0.000000002952450,1.000000000000000,1.000000000000000
BPI 2020,0.000000003292800,1.000000000000000,1.000000000000000
BPI 2020,0.000000003658350,1.000000000000000,1.000000000000000
BPI 2020,0.000000004050000,1.000000000000000,1.000000000000000
BPI 2020,0.000000004468650,1.000000000000000,1.000000000000000
BPI 2020,0.000000004915200,1.000000000000000,1.000000000000000
BPI 2020,0.000000005390550,1.000000000000000,1.000000000000000
BPI 2020,0.000000005895600,1.000000000000000,1.000000000000000
BPI 2020,0.000000006431250,1.000000000000000,1.000000000000000
BPI 2020,0.000000006998400,1.000000000000000,1.000000000000000
BPI 2020,0.000000007597950,1.000000000000000,1.000000000000000
BPI 2020,0.000000008230800,1.000000000000000,1.000000000000000
BPI 2020,0.000000008897850,1.000000000000000,1.000000000000000
BPI 2020,0.000000009600000,1.000000000000000,1.000000000000000
BPI 2020,0.000000010338150,1.000000000000000,1.000000000000000
BPI 2020,0.000000011113200,1.000000000000000,1.000000000000000
BPI 2020,0.000000011926050,1.000000000000000,1.000000000000000
BPI 2020,0.000000012777600,1.000000000000000,1.000000000000000
BPI 2020,0.000000013668750,1.000000000000000,1.000000000000000
BPI 2020,0.000000014600400,1.000000000000000,1.000000000000000
BPI 2020,0.000000015573450,1.000000000000000,1.000000000000000
BPI 2020,0.000000016588800,1.000000000000000,1.000000000000000
BPI 2020,0.000000017647350,1.000000000000000,1.000000000000000
BPI 2020,0.000000018750001,1.000000000000000,1.000000000000000
BPI 2020,0.000000019897650,1.000000000000000,1.000000000000000
BPI 2020,0.000000021091200,1.000000000000000,1.000000000000000
BPI 2020,0.000000022331550,1.000000000000000,1.000000000000000
BPI 2020,0.000000023619600,1.000000000000000,1.000000000000000
BPI 2020,0.000000024956250,1.000000000000000,1.000000000000000
BPI 2020,0.000000026342400,1.000000000000000,1.000000000000000
BPI 2020,0.000000027778951,1.000000000000000,1.000000000000000
BPI 2020,0.000000029266801,1.000000000000000,1.000000000000000
BPI 2020,0.000000030806849,1.000000000000000,1.000000000000000
BPI 2020,0.000000032399999,1.000000000000000,1.000000000000000
BPI 2020,0.000000034047151,1.000000000000000,1.000000000000000
BPI 2020,0.000000035749199,1.000000000000000,1.000000000000000
BPI 2020,0.000000037507050,1.000000000000000,1.000000000000000
BPI 2020,0.000000039321598,1.000000000000000,1.000000000000000
BPI 2020,0.000000041193751,1.000000000000000,1.000000000000000
BPI 2020,0.000000043124398,1.000000000000000,1.000000000000000
BPI 2020,0.000000045114451,1.000000000000000,1.000000000000000
BPI 2020,0.000000047164800,1.000000000000000,1.000000000000000
BPI 2020,0.000000049276348,1.000000000000000,1.000000000000000
BPI 2020,0.000000051450002,1.000000000000000,1.000000000000000
BPI 2020,0.000000053686652,1.000000000000000,1.000000000000000
BPI 2020,0.000000055987201,1.000000000000000,1.000000000000000
BPI 2020,0.000000058352551,1.000000000000000,1.000000000000000
BPI 2020,0.000000060783599,1.000000000000000,1.000000000000000
BPI 2020,0.000000063281249,1.000000000000000,1.000000000000000
BPI 2020,0.000000065846400,1.000000000000000,1.000000000000000
BPI 2020,0.000000068479949,1.000000000000000,1.000000000000000
BPI 2020,0.000000071182797,1.000000000000000,1.000000000000000
BPI 2020,0.000000073955853,1.000000000000000,1.000000000000000
BPI 2020,0.000000076799999,1.000000000000000,1.000000000000000
BPI 2020,0.000000079716152,1.000000000000000,1.000000000000000
BPI 2020,0.000000082705199,1.000000000000000,1.000000000000000
BPI 2020,0.000000085768050,1.000000000000000,1.000000000000000
BPI 2020,0.000000088905601,1.000000000000000,1.000000000000000
BPI 2020,0.000000092118754,1.000000000000000,1.000000000000000
BPI 2020,0.000000095408403,1.000000000000000,1.000000000000000
